time,bt_name,move_pow_metric,safety_metric,movement_efficiency,current_lighting,max_speed,obj_det_eff,obj_power,pic_rate,curr_cam_topic,pics_taken
1,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
2,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
3,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.935739,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
4,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.935739,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
5,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.915851,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
6,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.915851,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
7,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.894425,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
8,frog_aal_arch_baseline.xml,-10.0,0.128825,-10.0,0.894425,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
9,frog_aal_arch_baseline.xml,-10.0,0.14225,0.953401,0.869441,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
10,frog_aal_arch_baseline.xml,-10.0,0.14225,0.953401,0.869441,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
11,frog_aal_arch_baseline.xml,-10.0,0.164962,0.99553,0.84302,-10.0,"0,1",7053.725098,-10,cam_feednot_available,1.0
12,frog_aal_arch_baseline.xml,-10.0,0.164962,0.99553,0.84302,-10.0,"0,2",6994.450195,-10,cam_feednot_available,2.0
13,frog_aal_arch_baseline.xml,-10.0,0.110398,0.947749,0.815072,-10.0,"0,3",6935.174805,-10,cam_feednot_available,3.0
14,frog_aal_arch_baseline.xml,-10.0,0.110398,0.947749,0.815072,-10.0,"0,3",6935.174805,-10,cam_feednot_available,3.0
15,frog_aal_arch_baseline.xml,-10.0,0.065045,0.894434,0.784775,-10.0,"0,4",6875.899902,-10,cam_feednot_available,4.0
16,frog_aal_arch_baseline.xml,-10.0,0.065045,0.894434,0.784775,-10.0,"0,4",6875.899902,-10,cam_feednot_available,5.0
17,frog_aal_arch_baseline.xml,-10.0,0.11265,0.805124,0.752176,-10.0,"0,4",6875.899902,-10,cam_feednot_available,5.0
18,frog_aal_arch_baseline.xml,-10.0,0.11265,0.805124,0.752176,-10.0,"0,4",6875.899902,-10,cam_feednot_available,5.0
19,frog_aal_arch_baseline.xml,-10.0,0.120191,0.617496,0.719218,-10.0,"0,4",6875.899902,-10,cam_feednot_available,5.0
20,frog_aal_arch_baseline.xml,-10.0,0.120191,0.617496,0.719218,-10.0,"0,4",6875.899902,-10,cam_feednot_available,5.0
21,frog_aal_arch_baseline.xml,-10.0,0.065869,0.617496,0.685216,-10.0,"0,4",6875.899902,-10,cam_feednot_available,5.0
22,frog_aal_arch_baseline.xml,-10.0,0.065869,0.617496,0.685216,-10.0,"0,4",6875.899902,-10,cam_feednot_available,5.0
23,frog_aal_arch_baseline.xml,-10.0,0.061748,0.411023,0.648839,-10.0,"0,4",6875.899902,-10,cam_feednot_available,5.0
24,frog_aal_arch_baseline.xml,-10.0,0.061748,0.411023,0.648839,-10.0,"0,4",6875.899902,-10,cam_feednot_available,5.0
25,frog_aal_arch_baseline.xml,-10.0,0.051491,0.411023,0.612826,-10.0,"0,4",6875.899902,-10,cam_feednot_available,5.0
