time,bt_name,move_pow_metric,safety_metric,movement_efficiency,current_lighting,max_speed,obj_det_eff,obj_power,pic_rate,curr_cam_topic,pics_taken
1,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
2,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
3,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.934669,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
4,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.934669,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
5,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.915691,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
6,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.915691,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
7,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.893223,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
8,frog_aal_arch_baseline.xml,-10.0,0.130089,-10.0,0.893223,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
9,frog_aal_arch_baseline.xml,-10.0,0.13843,0.976558,0.869233,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
10,frog_aal_arch_baseline.xml,-10.0,0.13843,0.976558,0.869233,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
11,frog_aal_arch_baseline.xml,-10.0,0.168321,0.942147,0.842735,-10.0,"0,1",7053.725098,-10,cam_feednot_available,1.0
12,frog_aal_arch_baseline.xml,-10.0,0.168321,0.942147,0.842735,-10.0,"0,2",6994.450195,-10,cam_feednot_available,2.0
13,frog_aal_arch_baseline.xml,-10.0,0.129561,0.999025,0.814563,-10.0,"0,3",6935.174805,-10,cam_feednot_available,3.0
14,frog_aal_arch_baseline.xml,-10.0,0.129561,0.999025,0.814563,-10.0,"0,4",6875.899902,-10,cam_feednot_available,4.0
15,frog_aal_arch_baseline.xml,-10.0,0.088141,0.994042,0.784289,-10.0,"0,4",6875.899902,-10,cam_feednot_available,4.0
16,frog_aal_arch_baseline.xml,-10.0,0.088141,0.994042,0.784289,-10.0,"0,4",6875.899902,-10,cam_feednot_available,5.0
17,frog_aal_arch_baseline.xml,-10.0,0.071896,0.994042,0.751502,-10.0,"0,4",6875.899902,-10,cam_feednot_available,5.0
18,frog_aal_arch_baseline.xml,33.66737,0.071896,0.994042,0.751502,-10.0,"0,5",6816.625,-10,cam_feednot_available,5.0
19,frog_aal_arch_baseline.xml,33.66737,0.077282,0.994042,0.718192,-10.0,"0,6",6757.350098,-10,cam_feednot_available,6.0
20,frog_aal_arch_baseline.xml,33.66737,0.077282,0.994042,0.718192,-10.0,"0,7",6698.075195,-10,cam_feednot_available,7.0
21,frog_aal_arch_baseline.xml,33.66737,0.085367,0.994042,0.684918,-10.0,"0,8",6638.799805,-10,cam_feednot_available,8.0
22,frog_aal_arch_baseline.xml,33.66737,0.085367,0.994042,0.684918,-10.0,"0,9",6579.524902,-10,cam_feednot_available,9.0
23,frog_aal_arch_baseline.xml,33.66737,0.029533,0.932388,0.649306,-10.0,"0,9",6579.524902,-10,cam_feednot_available,10.0
24,frog_aal_arch_baseline.xml,33.66737,0.029533,0.932388,0.649306,-10.0,"0,9",6579.524902,-10,cam_feednot_available,10.0
25,frog_aal_arch_baseline.xml,33.66737,0.047134,0.314661,0.612866,-10.0,"0,9",6579.524902,-10,cam_feednot_available,10.0
