time,bt_name,move_pow_metric,safety_metric,movement_efficiency,current_lighting,max_speed,obj_det_eff,obj_power,pic_rate,curr_cam_topic,pics_taken
1,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
2,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
3,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.934907,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
4,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.934907,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
5,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.916327,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
6,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.916327,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
7,frog_aal_arch_baseline.xml,-10.0,-10.0,-10.0,0.894226,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
8,frog_aal_arch_baseline.xml,-10.0,0.124616,-10.0,0.894226,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
9,frog_aal_arch_baseline.xml,-10.0,0.157823,0.9452,0.869641,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
10,frog_aal_arch_baseline.xml,-10.0,0.157823,0.9452,0.869641,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
11,frog_aal_arch_baseline.xml,-10.0,0.15996,0.948574,0.843385,-10.0,"0,1",7053.725098,-10,cam_feednot_available,1.0
12,frog_aal_arch_baseline.xml,-10.0,0.15996,0.948574,0.843385,-10.0,"0,1",7053.725098,-10,cam_feednot_available,1.0
13,frog_aal_arch_baseline.xml,-10.0,0.091282,0.767898,0.815618,-10.0,"0,2",6994.450195,-10,cam_feednot_available,2.0
14,frog_aal_arch_baseline.xml,-10.0,0.091282,0.767898,0.815618,-10.0,"0,3",6935.174805,-10,cam_feednot_available,3.0
15,frog_aal_arch_baseline.xml,22.422319,0.091282,0.767898,0.78383,-10.0,"0,4",6875.899902,-10,cam_feednot_available,4.0
16,frog_aal_arch_baseline.xml,22.422319,0.096993,0.767898,0.78383,-10.0,"0,5",6816.625,-10,cam_feednot_available,5.0
17,frog_aal_arch_baseline.xml,22.422319,0.101293,0.767898,0.7522,-10.0,"0,6",6757.350098,-10,cam_feednot_available,6.0
18,frog_aal_arch_baseline.xml,22.422319,0.101293,0.767898,0.7522,-10.0,"0,6",6757.350098,-10,cam_feednot_available,6.0
19,frog_aal_arch_baseline.xml,22.422319,0.043829,0.990405,0.718838,-10.0,"0,7",6698.075195,-10,cam_feednot_available,7.0
20,frog_aal_arch_baseline.xml,22.422319,0.043829,0.990405,0.718838,-10.0,"0,8",6638.799805,-10,cam_feednot_available,8.0
21,frog_aal_arch_baseline.xml,22.422319,0.065426,0.842776,0.684612,-10.0,"0,9",6579.524902,-10,cam_feednot_available,9.0
22,frog_aal_arch_baseline.xml,22.422319,0.065426,0.842776,0.684612,-10.0,"0,9",6579.524902,-10,cam_feednot_available,10.0
23,frog_aal_arch_baseline.xml,20.039635,0.083296,0.842776,0.650431,-10.0,"0,10",6520.25,-10,cam_feednot_available,10.0
24,frog_aal_arch_baseline.xml,20.039635,0.083296,0.842776,0.650431,-10.0,"0,11",6460.975098,-10,cam_feednot_available,11.0
25,frog_aal_arch_baseline.xml,20.039635,0.081957,0.776017,0.612366,-10.0,"0,12",6401.700195,-10,cam_feednot_available,12.0
