time,move_pow_metric,safety_metric,movement_efficiency,current_lighting,max_speed,obj_det_eff,obj_power,pic_rate,curr_cam_topic,pics_taken
1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
2,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
3,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
4,-10.0,-10.0,-10.0,0.938592,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
5,-10.0,-10.0,-10.0,0.938592,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
6,-10.0,-10.0,-10.0,0.919456,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
7,-10.0,-10.0,-10.0,0.919456,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
8,-10.0,0.127502,-10.0,0.897619,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
9,-10.0,0.127502,-10.0,0.897619,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
10,-10.0,0.16731,0.94612,0.873278,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
11,-10.0,0.16731,0.94612,0.873278,-10.0,"0,1",7053.725098,-10,cam_feednot_available,1.0
12,-10.0,0.140002,0.997745,0.847906,-10.0,"0,2",6994.450195,-10,cam_feednot_available,2.0
13,-10.0,0.140002,0.997745,0.847906,-10.0,"0,2",6994.450195,-10,cam_feednot_available,2.0
14,-10.0,0.084387,0.5038,0.819136,-10.0,"0,3",6935.174805,-10,cam_feednot_available,3.0
15,25.437611,0.084387,0.5038,0.819136,-10.0,"0,4",6875.899902,-10,cam_feednot_available,4.0
16,25.437611,0.081855,0.5038,0.790035,-10.0,"0,5",6816.625,-10,cam_feednot_available,5.0
17,25.437611,0.081855,0.5038,0.790035,-10.0,"0,6",6757.350098,-10,cam_feednot_available,6.0
18,25.437611,0.092534,0.478715,0.758419,-10.0,"0,7",6698.075195,-10,cam_feednot_available,7.0
19,25.437611,0.092534,0.478715,0.758419,-10.0,"0,8",6638.799805,-10,cam_feednot_available,8.0
20,25.437611,0.045657,1.0,0.724799,-10.0,"0,8",6638.799805,-10,cam_feednot_available,8.0
21,25.437611,0.045657,1.0,0.724799,-10.0,"0,9",6579.524902,-10,cam_feednot_available,9.0
22,25.437611,0.078637,0.238789,0.691567,-10.0,"0,9",6579.524902,-10,cam_feednot_available,10.0
23,19.556885,0.078637,0.238789,0.691567,-10.0,"0,10",6520.25,-10,cam_feednot_available,10.0
24,19.556885,0.076165,0.238789,0.655275,-10.0,"0,11",6460.975098,-10,cam_feednot_available,11.0
25,19.556885,0.076165,0.238789,0.655275,-10.0,"0,12",6401.700195,-10,cam_feednot_available,12.0
26,19.556885,0.094728,1.0,0.6204,-10.0,"0,13",6342.424805,-10,cam_feednot_available,13.0
27,19.556885,0.094728,1.0,0.6204,-10.0,"0,14",6283.149902,-10,cam_feednot_available,14.0
28,19.556885,0.181732,0.94601,0.582322,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
29,19.556885,0.181732,0.94601,0.582322,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
30,19.556885,0.212918,0.946588,0.544456,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
31,19.556885,0.212918,0.946588,0.544456,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
32,19.556885,0.166071,0.947247,0.508304,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
33,19.556885,0.166071,0.947247,0.508304,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
34,19.556885,0.157196,1.0,0.470897,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
35,19.556885,0.157196,1.0,0.470897,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
36,19.556885,0.141017,1.0,0.433353,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
37,19.556885,0.141017,1.0,0.433353,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
38,19.556885,0.110642,0.322539,0.395429,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
39,19.556885,0.110642,0.322539,0.395429,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
40,19.556885,0.100022,0.322539,0.35882,-10.0,"0,14",6283.149902,-10,cam_feednot_available,15.0
41,51.281113,0.100022,0.322539,0.35882,-10.0,"0,15",6223.875,-10,cam_feednot_available,15.0
42,51.281113,0.089417,0.322539,0.323451,-10.0,"0,16",6164.600098,-10,cam_feednot_available,16.0
43,51.281113,0.089417,0.322539,0.323451,-10.0,"0,17",6105.325195,-10,cam_feednot_available,17.0
44,51.281113,0.105542,0.861888,0.287554,-10.0,"0,18",6046.049805,-10,cam_feednot_available,18.0
45,51.281113,0.105542,0.861888,0.287554,-10.0,"0,18",6046.049805,-10,cam_feednot_available,18.0
46,51.281113,0.076021,0.952352,0.254292,-10.0,"1,19",5986.774902,-10,cam_feednot_available,19.0
47,51.281113,0.076021,0.952352,0.254292,-10.0,"1,19",5986.774902,-10,cam_feednot_available,20.0
48,51.281113,0.167431,1.0,0.222487,-10.0,"1,19",5986.774902,-10,cam_feednot_available,20.0
49,51.281113,0.167431,1.0,0.222487,-10.0,"1,19",5986.774902,-10,cam_feednot_available,20.0
50,51.281113,0.181442,0.990494,0.192972,-10.0,"1,19",5986.774902,-10,cam_feednot_available,20.0
51,51.281113,0.181442,0.990494,0.192972,-10.0,"1,19",5986.774902,-10,cam_feednot_available,20.0
52,51.281113,0.117205,0.990494,0.162841,-10.0,"1,19",5986.774902,-10,cam_feednot_available,20.0
53,51.281113,0.117205,0.990494,0.162841,-10.0,"1,19",5986.774902,-10,cam_feednot_available,20.0
54,51.281113,0.118753,0.990494,0.13675,-10.0,"1,19",5986.774902,-10,cam_feednot_available,20.0
55,36.901001,0.118753,0.990494,0.13675,-10.0,"2,20",5927.5,-10,cam_feednot_available,20.0
56,36.901001,0.116588,0.990494,0.11216,-10.0,"3,21",5868.225098,-10,cam_feednot_available,21.0
57,36.901001,0.116588,0.990494,0.11216,-10.0,"4,22",5808.950195,-10,cam_feednot_available,22.0
58,36.901001,0.084908,0.997983,0.088679,-10.0,"4,23",5749.674805,-10,cam_feednot_available,23.0
59,36.901001,0.084908,0.997983,0.088679,-10.0,"4,24",5690.399902,-10,cam_feednot_available,24.0
60,36.901001,0.155249,0.894824,0.068505,-10.0,"4,24",5690.399902,-10,cam_feednot_available,25.0
61,36.901001,0.155249,0.894824,0.068505,-10.0,"4,24",5690.399902,-10,cam_feednot_available,25.0
62,36.901001,0.204274,0.895078,0.050676,-10.0,"4,24",5690.399902,-10,cam_feednot_available,25.0
63,36.901001,0.204274,0.895078,0.050676,-10.0,"4,24",5690.399902,-10,cam_feednot_available,25.0
64,36.901001,0.146615,1.0,0.035353,-10.0,"4,24",5690.399902,-10,cam_feednot_available,25.0
65,36.901001,0.146615,1.0,0.035353,-10.0,"4,24",5690.399902,-10,cam_feednot_available,25.0
66,36.901001,0.088373,0.632569,0.023086,-10.0,"4,24",5690.399902,-10,cam_feednot_available,25.0
67,36.901001,0.088373,0.632569,0.023086,-10.0,"4,24",5690.399902,-10,cam_feednot_available,25.0
68,36.901001,0.048398,0.950836,0.012885,-10.0,"4,24",5690.399902,-10,cam_feednot_available,25.0
69,41.380924,0.048398,0.950836,0.012885,-10.0,"4,25",5631.125,-10,cam_feednot_available,25.0
70,41.380924,0.04319,0.950836,0.005837,-10.0,"4,26",5571.850098,-10,cam_feednot_available,26.0
71,41.380924,0.04319,0.950836,0.005837,-10.0,"4,27",5512.575195,-10,cam_feednot_available,27.0
72,41.380924,0.044326,0.950836,0.001456,-10.0,"4,28",5453.299805,-10,cam_feednot_available,28.0
73,41.380924,0.044326,0.950836,0.001456,-10.0,"4,29",5394.024902,-10,cam_feednot_available,29.0
74,41.380924,0.057266,0.191588,3e-06,-10.0,"4,29",5394.024902,-10,cam_feednot_available,30.0
75,41.380924,0.057266,0.191588,3e-06,-10.0,"4,29",5394.024902,-10,cam_feednot_available,30.0
76,41.380924,0.077046,0.193438,0.00132,-10.0,"4,29",5394.024902,-10,cam_feednot_available,30.0
77,41.380924,0.077046,0.193438,0.00132,-10.0,"4,29",5394.024902,-10,cam_feednot_available,30.0
78,41.380924,0.097577,0.192411,0.005578,-10.0,"4,29",5394.024902,-10,cam_feednot_available,30.0
79,41.380924,0.097577,0.192411,0.005578,-10.0,"4,29",5394.024902,-10,cam_feednot_available,30.0
80,41.380924,0.113889,0.192411,0.012292,-10.0,"4,29",5394.024902,-10,cam_feednot_available,30.0
81,41.380924,0.113889,0.192411,0.012292,-10.0,"4,29",5394.024902,-10,cam_feednot_available,30.0
82,41.380924,0.046151,0.908842,0.022143,-10.0,"4,29",5394.024902,-10,cam_feednot_available,30.0
83,41.380924,0.046151,0.908842,0.022143,-10.0,"4,29",5394.024902,-10,cam_feednot_available,30.0
84,41.380924,0.076589,0.996467,0.034234,-10.0,"4,29",5394.024902,-10,cam_feednot_available,30.0
85,41.380924,0.076589,0.996467,0.034234,-10.0,"4,29",5394.024902,-10,cam_feednot_available,30.0
86,40.56181,0.107301,0.996467,0.049702,-10.0,"4,30",5334.75,-10,cam_feednot_available,30.0
87,40.56181,0.107301,0.996467,0.049702,-10.0,"4,31",5275.475098,-10,cam_feednot_available,31.0
88,40.56181,0.103739,0.826034,0.066982,-10.0,"4,32",5216.200195,-10,cam_feednot_available,32.0
89,40.56181,0.103739,0.826034,0.066982,-10.0,"5,33",5156.924805,-10,cam_feednot_available,33.0
90,40.56181,0.132694,1.0,0.087853,-10.0,"6,34",5097.649902,-10,cam_feednot_available,34.0
91,40.56181,0.132694,1.0,0.087853,-10.0,"6,34",5097.649902,-10,cam_feednot_available,35.0
92,40.56181,0.259833,0.998204,0.110237,-10.0,"6,34",5097.649902,-10,cam_feednot_available,35.0
93,40.56181,0.259833,0.998204,0.110237,-10.0,"6,34",5097.649902,-10,cam_feednot_available,35.0
94,40.56181,0.174304,0.998003,0.133888,-10.0,"6,34",5097.649902,-10,cam_feednot_available,35.0
95,40.56181,0.174304,0.998003,0.133888,-10.0,"6,34",5097.649902,-10,cam_feednot_available,35.0
96,40.56181,0.158777,0.999428,0.161629,-10.0,"6,34",5097.649902,-10,cam_feednot_available,35.0
