time,bt_name,move_pow_metric,safety_metric,movement_efficiency,current_lighting,max_speed,obj_det_eff,obj_power,pic_rate,curr_cam_topic,pics_taken
1,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
2,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.934793,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
3,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.934793,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
4,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.914955,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
5,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.914955,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
6,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.893576,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
7,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.893576,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
8,frog_aal_arch_internal.xml,-10.0,0.125334,0.519715,0.868222,0.26,-10.0,-10.0,1,/camera/image_noisy,-10.0
9,frog_aal_arch_internal.xml,-10.0,0.125334,0.519715,0.868222,0.26,-10.0,-10.0,1,/camera/image_noisy,-10.0
10,frog_aal_arch_internal.xml,-10.0,0.163343,0.839614,0.843082,0.26,"0,1",7053.725098,1,/camera/image_noisy,1.0
11,frog_aal_arch_internal.xml,-10.0,0.163343,0.839614,0.843082,0.26,"0,1",7053.725098,1,/camera/image_noisy,1.0
12,frog_aal_arch_internal.xml,-10.0,0.135483,1.0,0.814592,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
13,frog_aal_arch_internal.xml,-10.0,0.135483,1.0,0.814592,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
14,frog_aal_arch_internal.xml,-10.0,0.071774,1.0,0.784534,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
15,frog_aal_arch_internal.xml,25.148418,0.071774,1.0,0.784534,0.26,"0,3",6460.975098,3,/camera/image_noisy,3.0
16,frog_aal_arch_internal.xml,25.148418,0.071774,1.0,0.752382,0.26,"0,3",6460.975098,3,/camera/image_noisy,3.0
17,frog_aal_arch_internal.xml,25.148418,0.071774,1.0,0.752382,0.26,"0,3",6460.975098,3,/camera/image_noisy,3.0
18,frog_aal_arch_internal.xml,25.148418,0.071774,1.0,0.719467,0.26,"0,4",5927.5,3,/camera/image_noisy,4.0
19,frog_aal_arch_internal.xml,25.148418,0.071774,1.0,0.719467,0.26,"0,4",5927.5,3,/camera/image_noisy,4.0
20,frog_aal_arch_internal.xml,25.148418,0.071774,1.0,0.684783,0.26,"0,4",5927.5,3,/camera/image_noisy,4.0
21,frog_aal_arch_internal.xml,25.148418,0.071774,1.0,0.684783,0.26,"0,4",5927.5,3,/camera/image_noisy,4.0
22,frog_aal_arch_internal.xml,25.148418,0.076072,1.0,0.64869,0.18,"0,5",5394.024902,3,/camera/image_noisy,5.0
23,frog_aal_arch_internal.xml,25.148418,0.076072,1.0,0.64869,0.18,"0,6",5334.75,1,/camera/image_noisy,6.0
24,frog_aal_arch_internal.xml,25.148418,0.045433,0.687819,0.613243,0.18,"0,7",5275.475098,1,/camera/image_noisy,7.0
25,frog_aal_arch_internal.xml,25.148418,0.045433,0.687819,0.613243,0.1,"0,8",5216.200195,1,/camera/image_noisy,8.0
26,frog_aal_arch_internal.xml,25.148418,0.032149,0.687819,0.574744,0.1,"0,8",5216.200195,1,/camera/image_noisy,8.0
27,frog_aal_arch_internal.xml,25.148418,0.032149,0.687819,0.574744,0.1,"0,9",5156.924805,1,/camera/image_noisy,9.0
28,frog_aal_arch_internal.xml,25.148418,0.042719,0.385751,0.536996,0.1,"0,9",5156.924805,1,/camera/image_noisy,10.0
29,frog_aal_arch_internal.xml,25.148418,0.042719,0.385751,0.536996,0.1,"0,9",5156.924805,1,/camera/image_noisy,10.0
30,frog_aal_arch_internal.xml,25.148418,0.052812,0.385617,0.500126,0.1,"0,9",5156.924805,1,/camera/image_noisy,10.0
31,frog_aal_arch_internal.xml,25.148418,0.052812,0.385617,0.500126,0.1,"0,9",5156.924805,1,/camera/image_noisy,10.0
32,frog_aal_arch_internal.xml,25.148418,0.064701,0.385617,0.463638,0.1,"0,9",5156.924805,1,/camera/image_noisy,10.0
33,frog_aal_arch_internal.xml,29.761278,0.064701,0.385617,0.463638,0.1,"0,10",5097.649902,1,/camera/image_noisy,10.0
34,frog_aal_arch_internal.xml,29.761278,0.067367,0.29483,0.424509,0.1,"0,11",5038.375,1,/camera/image_noisy,11.0
35,frog_aal_arch_internal.xml,29.761278,0.067367,0.29483,0.424509,0.1,"0,11",5038.375,1,/camera/image_noisy,11.0
36,frog_aal_arch_internal.xml,29.761278,0.089515,0.385476,0.387535,0.1,"0,12",4979.100098,1,/camera/image_noisy,12.0
37,frog_aal_arch_internal.xml,29.761278,0.089515,0.385476,0.387535,0.1,"0,13",4919.825195,1,/camera/image_noisy,13.0
38,frog_aal_arch_internal.xml,29.761278,0.112314,0.384595,0.352677,0.1,"0,13",4919.825195,1,/camera/image_noisy,13.0
39,frog_aal_arch_internal.xml,29.761278,0.112314,0.384595,0.352677,0.1,"1,14",4860.549805,1,/camera/image_noisy,14.0
40,frog_aal_arch_internal.xml,29.761278,0.16292,0.690497,0.3158,0.18,"1,14",4860.549805,1,/camera/image_noisy,15.0
41,frog_aal_arch_internal.xml,29.761278,0.16292,0.690497,0.3158,0.18,"1,14",4860.549805,1,/camera/image_noisy,15.0
42,frog_aal_arch_internal.xml,29.761278,0.218606,0.692403,0.282563,0.18,"1,14",4860.549805,1,/camera/image_noisy,15.0
43,frog_aal_arch_internal.xml,29.761278,0.218606,0.692403,0.282563,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
44,frog_aal_arch_internal.xml,29.761278,0.162418,0.998457,0.247887,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
45,frog_aal_arch_internal.xml,29.761278,0.162418,0.998457,0.247887,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
46,frog_aal_arch_internal.xml,29.761278,0.149044,1.0,0.215878,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
47,frog_aal_arch_internal.xml,29.761278,0.149044,1.0,0.215878,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
48,frog_aal_arch_internal.xml,29.761278,0.162594,1.0,0.186551,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
49,frog_aal_arch_internal.xml,29.761278,0.162594,1.0,0.186551,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
50,frog_aal_arch_internal.xml,29.761278,0.133755,0.997155,0.157671,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
51,frog_aal_arch_internal.xml,29.761278,0.133755,0.997155,0.157671,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
52,frog_aal_arch_internal.xml,29.761278,0.101359,0.997155,0.131654,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
53,frog_aal_arch_internal.xml,29.761278,0.101359,0.997155,0.131654,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
54,frog_aal_arch_internal.xml,29.761278,0.09042,0.456352,0.107575,0.26,"1,14",4860.549805,1,/camera/image_noisy,15.0
55,frog_aal_arch_internal.xml,29.761278,0.09042,0.456352,0.107575,0.18,"1,14",4860.549805,1,/camera/image_noisy,15.0
56,frog_aal_arch_internal.xml,60.412415,0.087462,0.456352,0.091164,0.18,"2,15",4801.274902,1,/camera/image_noisy,15.0
57,frog_aal_arch_internal.xml,60.412415,0.087462,0.456352,0.091164,0.18,"2,16",4742.0,1,/camera/image_noisy,16.0
58,frog_aal_arch_internal.xml,60.412415,0.093316,0.379585,0.065234,0.1,"2,17",4682.725098,1,/camera/image_noisy,17.0
59,frog_aal_arch_internal.xml,60.412415,0.093316,0.379585,0.065234,0.1,"2,18",4623.450195,1,/camera/image_noisy,18.0
60,frog_aal_arch_internal.xml,60.412415,0.0923,0.382279,0.047691,0.1,"2,19",4564.174805,1,/camera/image_noisy,19.0
61,frog_aal_arch_internal.xml,60.412415,0.0923,0.382279,0.047691,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
62,frog_aal_arch_internal.xml,60.412415,0.106602,0.396497,0.03279,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
63,frog_aal_arch_internal.xml,60.412415,0.106602,0.396497,0.03279,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
64,frog_aal_arch_internal.xml,60.412415,0.134597,0.380972,0.020999,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
65,frog_aal_arch_internal.xml,60.412415,0.134597,0.380972,0.020999,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
66,frog_aal_arch_internal.xml,60.412415,0.14112,0.383587,0.011522,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
67,frog_aal_arch_internal.xml,60.412415,0.14112,0.383587,0.011522,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
68,frog_aal_arch_internal.xml,60.412415,0.158694,0.384732,0.004808,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
69,frog_aal_arch_internal.xml,60.412415,0.158694,0.384732,0.004808,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
70,frog_aal_arch_internal.xml,60.412415,0.180933,0.384162,0.001069,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
71,frog_aal_arch_internal.xml,60.412415,0.180933,0.384162,0.001069,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
72,frog_aal_arch_internal.xml,60.412415,0.190393,0.383233,2.5e-05,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
73,frog_aal_arch_internal.xml,60.412415,0.190393,0.383233,2.5e-05,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
74,frog_aal_arch_internal.xml,60.412415,0.134028,0.3831,0.001865,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
75,frog_aal_arch_internal.xml,60.412415,0.134028,0.3831,0.001865,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
76,frog_aal_arch_internal.xml,60.412415,0.10874,0.3831,0.006498,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
77,frog_aal_arch_internal.xml,60.412415,0.10874,0.3831,0.006498,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
78,frog_aal_arch_internal.xml,60.412415,0.104019,0.38231,0.014025,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
79,frog_aal_arch_internal.xml,60.412415,0.104019,0.38231,0.014025,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
80,frog_aal_arch_internal.xml,60.412415,0.088288,0.38231,0.024092,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
81,frog_aal_arch_internal.xml,60.412415,0.088288,0.38231,0.024092,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
82,frog_aal_arch_internal.xml,60.412415,0.091146,0.38231,0.037327,0.1,"2,19",4564.174805,1,/camera/image_noisy,20.0
83,frog_aal_arch_internal.xml,61.693958,0.091146,0.38231,0.037327,0.1,"3,20",4504.899902,1,/camera/image_noisy,20.0
84,frog_aal_arch_internal.xml,61.693958,0.086766,0.38231,0.053376,0.1,"4,21",4445.625,1,/camera/image_noisy,21.0
85,frog_aal_arch_internal.xml,61.693958,0.086766,0.38231,0.053376,0.1,"4,22",4386.350098,1,/camera/image_noisy,22.0
86,frog_aal_arch_internal.xml,61.693958,0.053203,0.387089,0.070852,0.1,"4,23",4327.075195,1,/camera/image_noisy,23.0
87,frog_aal_arch_internal.xml,61.693958,0.053203,0.387089,0.070852,0.1,"4,24",4267.799805,1,/camera/image_noisy,24.0
88,frog_aal_arch_internal.xml,61.693958,0.104114,0.380483,0.091835,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
89,frog_aal_arch_internal.xml,61.693958,0.104114,0.380483,0.091835,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
90,frog_aal_arch_internal.xml,61.693958,0.15477,0.387269,0.115119,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
91,frog_aal_arch_internal.xml,61.693958,0.15477,0.387269,0.115119,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
92,frog_aal_arch_internal.xml,61.693958,0.208143,0.387011,0.139171,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
93,frog_aal_arch_internal.xml,61.693958,0.208143,0.387011,0.139171,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
94,frog_aal_arch_internal.xml,61.693958,0.181781,0.380319,0.166994,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
95,frog_aal_arch_internal.xml,61.693958,0.181781,0.380319,0.166994,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
96,frog_aal_arch_internal.xml,61.693958,0.158743,0.407132,0.195473,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
97,frog_aal_arch_internal.xml,61.693958,0.158743,0.407132,0.195473,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
98,frog_aal_arch_internal.xml,61.693958,0.138588,0.384584,0.227233,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
99,frog_aal_arch_internal.xml,61.693958,0.138588,0.384584,0.227233,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
100,frog_aal_arch_internal.xml,61.693958,0.127352,0.384662,0.259052,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
101,frog_aal_arch_internal.xml,61.693958,0.127352,0.384662,0.259052,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
102,frog_aal_arch_internal.xml,61.693958,0.123109,0.385085,0.292168,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
103,frog_aal_arch_internal.xml,61.693958,0.123109,0.385085,0.292168,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
104,frog_aal_arch_internal.xml,61.693958,0.105261,0.384941,0.326687,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
105,frog_aal_arch_internal.xml,61.693958,0.105261,0.384941,0.326687,0.1,"4,24",4267.799805,1,/camera/image_noisy,25.0
106,frog_aal_arch_internal.xml,54.422016,0.077501,0.384941,0.362554,0.1,"4,25",4208.524902,1,/camera/image_noisy,25.0
107,frog_aal_arch_internal.xml,54.422016,0.077501,0.384941,0.362554,0.1,"4,26",4149.25,1,/camera/image_noisy,26.0
108,frog_aal_arch_internal.xml,54.422016,0.081586,0.297157,0.399921,0.1,"4,27",4089.975098,1,/camera/image_noisy,27.0
109,frog_aal_arch_internal.xml,54.422016,0.081586,0.297157,0.399921,0.1,"4,28",4030.699951,1,/camera/image_noisy,28.0
110,frog_aal_arch_internal.xml,54.422016,0.040283,0.385551,0.437971,0.1,"4,29",3971.425049,1,/camera/image_noisy,29.0
111,frog_aal_arch_internal.xml,54.422016,0.040283,0.385551,0.437971,0.1,"4,29",3971.425049,1,/camera/image_noisy,30.0
112,frog_aal_arch_internal.xml,54.422016,0.03789,0.378242,0.474817,0.1,"4,29",3971.425049,1,/camera/image_noisy,30.0
113,frog_aal_arch_internal.xml,54.422016,0.03789,0.378242,0.474817,0.1,"4,29",3971.425049,1,/camera/image_noisy,30.0
114,frog_aal_arch_internal.xml,54.422016,0.049695,0.386408,0.511505,0.1,"4,29",3971.425049,1,/camera/image_noisy,30.0
115,frog_aal_arch_internal.xml,54.422016,0.049695,0.386408,0.511505,0.1,"4,29",3971.425049,1,/camera/image_noisy,30.0
116,frog_aal_arch_internal.xml,54.422016,0.060674,0.386408,0.549656,0.1,"4,29",3971.425049,1,/camera/image_noisy,30.0
117,frog_aal_arch_internal.xml,54.422016,0.060674,0.386408,0.549656,0.1,"4,29",3971.425049,1,/camera/image_noisy,30.0
118,frog_aal_arch_internal.xml,22.209473,0.066429,0.386408,0.58821,0.1,"4,30",3912.149902,1,/camera/image_noisy,30.0
119,frog_aal_arch_internal.xml,22.209473,0.066429,0.386408,0.58821,0.1,"4,31",3852.875,1,/camera/image_noisy,31.0
120,frog_aal_arch_internal.xml,22.209473,0.071301,0.382071,0.624201,0.1,"4,32",3793.600098,1,/camera/image_noisy,32.0
121,frog_aal_arch_internal.xml,22.209473,0.071301,0.382071,0.624201,0.1,"4,33",3734.324951,1,/camera/image_noisy,33.0
122,frog_aal_arch_internal.xml,22.209473,0.10252,0.383237,0.660728,0.1,"4,34",3675.050049,1,/camera/image_noisy,34.0
123,frog_aal_arch_internal.xml,22.209473,0.10252,0.383237,0.660728,0.1,"4,34",3675.050049,1,/camera/image_noisy,35.0
124,frog_aal_arch_internal.xml,22.209473,0.15147,0.690877,0.694661,0.18,"4,34",3675.050049,1,/camera/image_noisy,35.0
125,frog_aal_arch_internal.xml,22.209473,0.15147,0.690877,0.694661,0.18,"4,34",3675.050049,1,/camera/image_noisy,35.0
126,frog_aal_arch_internal.xml,22.209473,0.215478,0.691781,0.729415,0.18,"4,34",3675.050049,1,/camera/image_noisy,35.0
127,frog_aal_arch_internal.xml,22.209473,0.215478,0.691781,0.729415,0.26,"4,34",3675.050049,1,/camera/image_noisy,35.0
128,frog_aal_arch_internal.xml,22.209473,0.166067,0.999277,0.763032,0.26,"4,34",3675.050049,1,/camera/image_noisy,35.0
129,frog_aal_arch_internal.xml,22.209473,0.166067,0.999277,0.763032,0.26,"4,34",3675.050049,1,/camera/image_noisy,35.0
130,frog_aal_arch_internal.xml,22.209473,0.141801,1.0,0.794179,0.26,"4,34",3675.050049,1,/camera/image_noisy,35.0
131,frog_aal_arch_internal.xml,22.209473,0.141801,1.0,0.794179,0.26,"4,34",3675.050049,1,/camera/image_noisy,35.0
132,frog_aal_arch_internal.xml,22.209473,0.149781,0.913013,0.822834,0.26,"4,34",3675.050049,1,/camera/image_noisy,35.0
133,frog_aal_arch_internal.xml,22.209473,0.149781,0.913013,0.822834,0.26,"4,34",3675.050049,1,/camera/image_noisy,35.0
134,frog_aal_arch_internal.xml,22.209473,0.132229,0.895435,0.851164,0.26,"4,34",3675.050049,1,/camera/image_noisy,35.0
135,frog_aal_arch_internal.xml,22.209473,0.132229,0.895435,0.851164,0.26,"4,34",3675.050049,1,/camera/image_noisy,35.0
136,frog_aal_arch_internal.xml,22.209473,0.110074,0.133521,0.876398,0.26,"4,34",3675.050049,1,/camera/image_noisy,35.0
137,frog_aal_arch_internal.xml,22.209473,0.110074,0.133521,0.876398,0.26,"4,34",3675.050049,1,/camera/image_noisy,35.0
138,frog_aal_arch_internal.xml,22.209473,0.096278,0.133521,0.901058,0.26,"4,34",3675.050049,1,/camera/image_noisy,35.0
139,frog_aal_arch_internal.xml,57.857994,0.096278,0.133521,0.901058,0.18,"4,35",3615.774902,1,/camera/image_noisy,35.0
140,frog_aal_arch_internal.xml,57.857994,0.085911,0.133521,0.921559,0.18,"4,35",3615.774902,1,/camera/image_noisy,35.0
141,frog_aal_arch_internal.xml,57.857994,0.085911,0.133521,0.921559,0.18,"4,35",3615.774902,1,/camera/image_noisy,35.0
142,frog_aal_arch_internal.xml,57.857994,0.106701,0.386304,0.940476,0.1,"4,36",3082.300049,3,/camera/image_noisy,36.0
143,frog_aal_arch_internal.xml,57.857994,0.106701,0.386304,0.940476,0.1,"4,36",3082.300049,3,/camera/image_noisy,36.0
144,frog_aal_arch_internal.xml,57.857994,0.089007,0.38695,0.957865,0.1,"4,36",3082.300049,3,/camera/image_noisy,36.0
145,frog_aal_arch_internal.xml,57.857994,0.089007,0.38695,0.957865,0.1,"4,36",3082.300049,3,/camera/image_noisy,36.0
146,frog_aal_arch_internal.xml,57.857994,0.110537,0.387096,0.971205,0.1,"4,37",2548.824951,3,/camera/image_noisy,37.0
147,frog_aal_arch_internal.xml,57.857994,0.110537,0.387096,0.971205,0.1,"4,37",2548.824951,3,/camera/image_noisy,37.0
148,frog_aal_arch_internal.xml,57.857994,0.132106,0.383313,0.982501,0.1,"4,37",2548.824951,3,/camera/image_noisy,37.0
149,frog_aal_arch_internal.xml,57.857994,0.132106,0.383313,0.982501,0.1,"4,38",2015.349976,3,/camera/image_noisy,38.0
150,frog_aal_arch_internal.xml,57.857994,0.144508,0.384305,0.991031,0.1,"4,38",2015.349976,3,/camera/image_noisy,38.0
151,frog_aal_arch_internal.xml,57.857994,0.144508,0.384305,0.991031,0.1,"4,38",2015.349976,3,/camera/image_noisy,38.0
152,frog_aal_arch_internal.xml,57.857994,0.155325,0.384125,0.996846,0.1,"4,39",1481.875,3,/camera/image_noisy,39.0
153,frog_aal_arch_internal.xml,57.857994,0.155325,0.384125,0.996846,0.1,"4,39",1481.875,3,/camera/image_noisy,39.0
154,frog_aal_arch_internal.xml,57.857994,0.18646,0.384236,0.999622,0.1,"4,39",1481.875,3,/camera/image_noisy,39.0
155,frog_aal_arch_internal.xml,57.857994,0.18646,0.384236,0.999622,0.1,"4,39",1481.875,3,/camera/image_noisy,40.0
156,frog_aal_arch_internal.xml,57.857994,0.17988,0.385441,0.999676,0.1,"4,39",1481.875,3,/camera/image_noisy,40.0
157,frog_aal_arch_internal.xml,57.857994,0.17988,0.385441,0.999676,0.1,"4,39",1481.875,3,/camera/image_noisy,40.0
158,frog_aal_arch_internal.xml,57.857994,0.117688,0.367032,0.996835,0.1,"4,39",1481.875,3,/camera/image_noisy,40.0
159,frog_aal_arch_internal.xml,57.857994,0.117688,0.367032,0.996835,0.1,"4,39",1481.875,3,/camera/image_noisy,40.0
160,frog_aal_arch_internal.xml,57.857994,0.118551,0.367032,0.991207,0.1,"4,39",1481.875,3,/camera/image_noisy,40.0
161,frog_aal_arch_internal.xml,49.827328,0.118551,0.367032,0.991207,0.1,"4,40",948.400024,3,/camera/image_noisy,40.0
