time,bt_name,move_pow_metric,safety_metric,movement_efficiency,current_lighting,max_speed,obj_det_eff,obj_power,pic_rate,curr_cam_topic,pics_taken
1,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
2,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
3,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.93555,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
4,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.93555,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
5,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.916545,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
6,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.916545,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
7,frog_aal_arch_internal.xml,-10.0,-10.0,-10.0,0.893901,-10.0,-10.0,-10.0,-10,cam_feednot_available,-10.0
8,frog_aal_arch_internal.xml,-10.0,0.128498,-10.0,0.893901,0.26,-10.0,-10.0,1,/camera/image_noisy,-10.0
9,frog_aal_arch_internal.xml,-10.0,0.144654,0.957293,0.870319,0.26,-10.0,-10.0,1,/camera/image_noisy,-10.0
10,frog_aal_arch_internal.xml,-10.0,0.144654,0.957293,0.870319,0.26,-10.0,-10.0,1,/camera/image_noisy,-10.0
11,frog_aal_arch_internal.xml,-10.0,0.164317,0.996905,0.843471,0.26,"0,1",7053.725098,1,/camera/image_noisy,1.0
12,frog_aal_arch_internal.xml,-10.0,0.164317,0.996905,0.843471,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
13,frog_aal_arch_internal.xml,-10.0,0.124761,1.0,0.81555,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
14,frog_aal_arch_internal.xml,-10.0,0.124761,1.0,0.81555,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
15,frog_aal_arch_internal.xml,-10.0,0.082591,1.0,0.785146,0.26,"0,2",6994.450195,1,/camera/image_noisy,2.0
16,frog_aal_arch_internal.xml,-10.0,0.082591,1.0,0.785146,0.26,"0,3",6460.975098,3,/camera/image_noisy,3.0
17,frog_aal_arch_internal.xml,-10.0,0.085856,0.696368,0.754427,0.18,"0,3",6460.975098,3,/camera/image_noisy,3.0
18,frog_aal_arch_internal.xml,32.700363,0.085856,0.696368,0.754427,0.18,"0,3",6460.975098,3,/camera/image_noisy,3.0
19,frog_aal_arch_internal.xml,32.700363,0.085856,0.696368,0.721202,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
20,frog_aal_arch_internal.xml,32.700363,0.085856,0.696368,0.721202,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
21,frog_aal_arch_internal.xml,32.700363,0.085856,0.696368,0.686122,0.18,"0,4",5927.5,3,/camera/image_noisy,4.0
22,frog_aal_arch_internal.xml,32.700363,0.078358,0.696368,0.686122,0.1,"0,5",5394.024902,3,/camera/image_noisy,5.0
23,frog_aal_arch_internal.xml,32.700363,0.08304,0.696368,0.650788,0.1,"0,5",5394.024902,3,/camera/image_noisy,5.0
24,frog_aal_arch_internal.xml,32.700363,0.08304,0.696368,0.650788,0.1,"0,6",5334.75,1,/camera/image_noisy,6.0
